Index,Year,Month,Price,Real price,Real total return price
1745,2016,May,2065.55,2662.62,1539588.03
1746,2016,June,2083.89,2677.47,1550925.78
1747,2016,July,2148.9,2765.47,1604674.98
1748,2016,August,2170.95,2791.29,1622440.88
1749,2016,September,2157.69,2767.58,1611461.59
1750,2016,October,2143.02,2745.35,1601325.35
1751,2016,November,2164.99,2777.81,1623098.41
1752,2016,December,2246.63,2881.62,1686607.18
1753,2017,January,2275.12,2901.25,1700955.9
1754,2017,February,2329.91,2961.8,1739322.11
1755,2017,March,2366.82,3006.28,1768324.13
1756,2017,April,2359.31,2987.88,1760397.75
1757,2017,May,2395.35,3030.93,1788678.84
1758,2017,June,2433.99,3077.03,1818820.98
1759,2017,July,2454.1,3104.6,1838076.68
1760,2017,August,2456.22,3098,1837150.03
1761,2017,September,2492.84,3127.63,1857706.31
1762,2017,October,2557,3210.16,1909733.62
1763,2017,November,2593.61,3256.04,1940058.72
1764,2017,December,2664.34,3346.8,1997189.85
1765,2018,January,2789.8,3485.41,2082966
1766,2018,February,2705.16,3364.41,2013727.87
1767,2018,March,2702.77,3353.85,2010504.42
1768,2018,April,2653.63,3279.84,1969242.73
1769,2018,May,2701.49,3325.16,1999576.14
1770,2018,June,2754.35,3384.83,2038597.67
1771,2018,July,2793.64,3432.88,2070710.69
1772,2018,August,2857.82,3509.8,2120309.65
1773,2018,September,2901.5,3559.31,2153450.96
1774,2018,October,2785.46,3410.93,2066942.2
1775,2018,November,2723.23,3345.94,2030861.37
1776,2018,December,2567.31,3164.47,1924069.07
1777,2019,January,2607.39,3207.76,1953763.65
1778,2019,February,2754.86,3374.92,2058968.03
1779,2019,March,2803.98,3415.82,2087326.53
1780,2019,April,2903.8,3518.79,2153662.15
1781,2019,May,2854.71,3451.96,2116191.17
1782,2019,June,2890.17,3494.14,2145514.49
1783,2019,July,2996.11,3616.18,2223938.2
1784,2019,August,2897.5,3497.33,2154363.49
1785,2019,September,2982.16,3596.7,2219115.54
1786,2019,October,2977.68,3583.11,2214291.87
1787,2019,November,3104.9,3738.21,2313728.55
1788,2019,December,3176.75,3828.19,2373041.94
1789,2020,January,3278.2,3935.18,2443002.88
1790,2020,February,3277.31,3923.36,2439327.71
1791,2020,March,2652.39,3182.18,1982204.68
1792,2020,April,2761.98,3335.95,2081730.94
1793,2020,May,2919.62,3526.28,2204249.14
1794,2020,June,3104.66,3729.37,2334932.88
1795,2020,July,3207.62,3833.66,2403928.31
1796,2020,August,3391.71,4040.93,2537585.12
1797,2020,September,3365.52,4004.15,2518150
1798,2020,October,3418.7,4065.74,2560538.97
1799,2020,November,3548.99,4223.27,2663400.13
1800,2020,December,3695.31,4393.25,2774239.33
1801,2021,January,3793.75,4491.18,2839694.72
1802,2021,February,3883.43,4572.32,2894587.03
1803,2021,March,3910.51,4571.81,2897822.51
1804,2021,April,4141.18,4802.02,3047273.99
1805,2021,May,4167.85,4794.51,3046024.76
1806,2021,June,4238.49,4830.89,3072628.64
1807,2021,July,4363.71,4949.81,3151769.39
1808,2021,August,4454.21,5042.04,3214028.63
1809,2021,September,4445.54,5018.6,3202642.38
1810,2021,October,4460.71,4994.23,3190638.63
1811,2021,November,4667.39,5200.08,3325708.34
1812,2021,December,4674.77,5192.35,3324343.4
1813,2022,January,4573.81,5037.83,3228989.94
1814,2022,February,4435.98,4841.78,3106918.56
1815,2022,March,4391.27,4729.83,3038647.19
1816,2022,April,4391.3,4703.6,3025392.02
1817,2022,May,4040.36,4280.52,2756859.99
1818,2022,June,3898.95,4074.73,2627912.42
1819,2022,July,3911.73,4088.57,2640460.14
1820,2022,August,4158.56,4348.11,2811721.82
1821,2022,September,3850.52,4017.38,2601530.51
1822,2022,October,3726.05,3871.81,2510957.02
1823,2022,November,3917.49,4074.86,2646366.35
1824,2022,December,3912.38,4082.08,2654833.78
1825,2023,January,3960.66,4099.67,2670052.68
1826,2023,February,4079.68,4199.43,2738814.28
1827,2023,March,3968.56,4071.56,2659224.31
1828,2023,April,4121.47,4207.16,2751581.75
1829,2023,May,4146.17,4221.74,2764926.02
1830,2023,June,4345.37,4410.33,2892244.28
1831,2023,July,4508.08,4566.76,2998640.09
1832,2023,August,4457.36,4495.75,2955827.14
1833,2023,September,4409.1,4436.04,2920394.59
1834,2023,October,4269.4,4297.14,2832797.34
1835,2023,November,4460.06,4498.11,2969156.37
1836,2023,December,4685.05,4729.71,3125940.92
1837,2024,January,4815.61,4835.18,3195645.95
1838,2024,February,5011.96,5018.73,3316956.78
1839,2024,March,5137.08,5137.08,3395174.88
